Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
Bexa	puM	Bexamu	napuM																						
bIja	napuM	bIjamu	napuM																						
BinnA	swrI	Binnamu	napuM																						
BIRma	puM:napuM	BIRmudu^BayaMkara	puM:napuM																						
BIwa	napuM:puM	BIwa^Bayamu	napuM:napuM																						
Boga	napuM:puM	Bogamu^suKaM	napuM:napuM																						
Bogin	puM	Bogi^suKI^Bogamu_anuBaviMcuvAdu	puM																						
Bojana	napuM	Bojanamu	napuM																						
Bokwq	napuM	Bogi^rAju^BujiMcuvAdu	puM																						
Bokwqwva	napuM	anuBaviMcuta	napuM																						
Bqgu	puM	Bqgu_maharRi	puM																						
bqhaw	napuM:puM:swrI	goppaxi^pexxaxi	napuM:napuM:napuM																						
Bqw	puM	BariMcuvAdu^baMtu^kUli	puM																						
brahma	puM:napuM	brahma	puM:puM																						
brahmacArin	napuM	brahmacAri	puM																						
brahmacarya	napuM	brahmacaryamu	napuM																						
brahman	napuM:puM	brahman^paramAwma	napuM:napuM																						
brahman	napuM:puM	brahmamu	napuM:napuM																						
brAhmaNa	puM	brAhmaNudu	puM																						
brAhmI	swrI	sarasvawi	swrI																						
brAhmI	swrI	vAkku	napuM																						
BraMSa	puM	naSiMcuta^kriMxapadadaM	napuM																						
BrAwq	puM	sahoxarudu^wodabuttinavAdu	puM																						
BrU	swrI	kanubomma	napuM																						
Buja	puM	Bujamu	napuM																						
BUmi	swrI	BUmi	swrI																						
BUwi	swrI	BUwi^BAgyamu^ESvaryamu	puM																						
buXa	puM	buXudu^paMdiwudu	puM																						
buxXi	swrI	buxXi^mawi^meXassu	napuM																						
Buyas	napuM	marala^malYli	napuM																						
caFcala	puM	caFcalamu	napuM																						
caFcala	napuM	caFcalaM	napuM																						
cakra	puM	cakramu	puM																						
cakrin	puM	cakri^cakramu_XariMcuvAdu^viRNuvu^kummari	napuM																						
cakRus	napuM	cakRuvu^kannu^newramu	napuM																						
cakRus	napuM	kannu^newraM	napuM																						
Cala	napuM	mosamu^vaMcana	napuM																						
cala	napuM:puM	cala^kaxaluta	napuM:napuM																						
camU	swrI	sena	napuM																						
Canxas	napuM	Canxassu^icca	napuM																						
canxramas	puM	caMxrudu	napuM																						
cAnxramasa	puM	cAMxramAsa^caMxruniwo_lekkiMcu_mAsamu	napuM																						
cApa	napuM	Xanussu	napuM																						
cApala	napuM	capalaM	napuM																						
cara	napuM:puM:swrI	caramu^kaxulunaxi^wirugunaxi	napuM:napuM:napuM																						
carAcara	puM:napuM	carAcara	napuM:napuM																						
cArin	napuM:puM	AcariMcuvAdu^saMcariMcuvAdu	puM:puM																						
cawur	puM:swrI	cAwuryamu^nAlugu	napuM																						
cawur	puM:swrI	cAwuryamu^nAlugu	napuM:napuM																						
cAwurvarNya	napuM	cawurvarNamulu	napuM																						
cawurviXa	puM:napuM	nAlugu_viXamuluga	napuM:napuM																						
cekiwAna	puM	cAndramAsa	napuM																						
cEla	puM:napuM	vaswramu	napuM:napuM																						
ceRtA	swrI	ceRta	napuM																						
cewanA	swrI	cewanamu	napuM																						
cewas	napuM	ciwwamu^cewanamu^manassu	puM																						
cikIrRu	puM	ceya_icca_kalavAdu	puM																						
cikIrRu	puM	ceyavaleVnani_icca_kalavAdu	puM																						
Cinna	napuM:puM	Cinna^Cexana	napuM:napuM																						
cinwA	swrI	ciMwa^walapu^xigulu^Alocana	napuM																						
cira	napuM	cira_kAlaM^cAlA_kAlaM^pAwa	napuM																						
ciwraraWa	puM	sUryudu	puM																						
ciwwa	napuM:puM	ciwwamu	napuM:napuM																						
ciw	puM:napuM	manassu	napuM:napuM																						
wawva	napuM	wawvaM	napuM																						
coxanA	swrI	prerepiMcuta	napuM																						
eka	napuM:puM:swrI	oVkati	napuM:napuM:napuM																						
