Samskrit Word,Samskrit_GenderTelugu,Telugu_Word,Telugu _Gender
apa_nux1,,,
apahqwa,puM,apahariMcabadinaxi,puM
apahqwa-jFAna,,,
aparA,swrI,iwaramu^waruvAwa,swrI
aparAjiwa,puM,ajeyudu,puM
apara,napuM:puM,iwaramu^waruvAwa,napuM:puM
aparaspara,,parasparamu_kAnixi,
samBUwa,puM,uwpannamEnaxi^puttinaxi,puM
aparigraha,puM,svIkariMcakapovuta^saMgrahaNa_icca_lekapovuta,puM
aparyApwa,vi,aparyApwamu^asaMpUrNamu,vi
api,,mariyu^iMkayu,
apiwu,,,*
apohana,napuM,Uha^BrAMwi^woVlagiMcuta,napuM
aprakASa,vi:napuM,prakASamu_lenixi^prakatiMpabadanixi,vi:napuM
apravqwwi,swrI,pravqwwi_lenixi^nivqwwi,swrI
aprawiRTa,vi,aprawiRTa,vi
aprawima,napuM,asamAnudu,napuM
praBAva,puM,praBAvamu^kAMwi^sAmarWyamu,puM
apunarAvqwwi,swrI,maroka_janma_lenixi^mukwi,swrI
arAga,,rAga_rahiwa,
xveRawaH,,xveRamuwo,
arWa,puM,,puM
arWin,puM:napuM,Xanikudu^arWiMcuvAdu^yAcakudu,puM:napuM
arWa-kAma,,,
saFcaya,puM,samUhamu,puM
vyapASraya,,ASrayiMcuta,
arc1,,,
arh1,,,
